manUnit,stkName,stk,model,domCycle,minER,cvER,usERScalar,canERScalar,tauCycAge,alpha,beta0,sigma,coef1,covarInit,mu_logCovar1,sig_logCovar1,min_logCovar,max_logCovar,aveGenTime,ageFirstRec,ageMaxRec,larkAlpha,larkBeta0,larkBeta1,larkBeta2,larkBeta3,larkSigma,meanRec2,meanRec3,meanRec4,meanRec5,meanRec6,medianRec,lowQRec,highQRec,meanDBE,sdDBE,medMA,meanForecast,sdForecast,Sinit
WCVIChinook,Kyuquot,1,ricker,NA,0.05,0.21,1,1,0.7,1.578412,0.000237853,0.685247,0,0,0,0,0,0,4,2,4,NA,NA,NA,NA,NA,NA,0.011890834,0.104177572,0.48053115,0.403400444,0,1160,612,2134,NA,NA,NA,NA,NA,5649
WCVIChinook,Clayoquot,2,ricker,NA,0.05,0.21,1,1,0.7,1.138784,0.000105215,0.8013218,0,0,0,0,0,0,4,2,4,NA,NA,NA,NA,NA,NA,0.021204585,0.167223443,0.482359876,0.379343687,0,370,229,648,NA,NA,NA,NA,NA,7772
WCVIChinook,Quatsino,3,ricker,NA,0.05,0.21,1,1,0.8,1.529675,0.000357695,0.6821667,0,0,0,0,0,0,4,2,4,NA,NA,NA,NA,NA,NA,0.030582594,0.178828992,0.45948725,0.355882905,0,2812,2179,4080,NA,NA,NA,NA,NA,3626
WCVIChinook,Barkley,4,ricker,NA,0.05,0.21,1,1,0.7,1.138784,0.001199013,0.8013218,0,0,0,0,0,0,4,2,4,NA,NA,NA,NA,NA,NA,0.021204585,0.167223443,0.482359876,0.379343687,0,400,206,750,NA,NA,NA,NA,NA,682
WCVIChinook,Nootka/Esperanza,5,ricker,NA,0.05,0.21,1,1,0.7,1.578412,0.001059644,0.685247,0,0,0,0,0,0,4,2,4,NA,NA,NA,NA,NA,NA,0.011890834,0.104177572,0.48053115,0.403400444,0,232,124,657,NA,NA,NA,NA,NA,1268
